nghb_name;nghb_external_code;city_id
Lic Jesús Terán Villa;463;738
Montoro;464;738
Los Caños;465;738
San Antonio de Peñuelas;466;738
Aguascalientes (Lic. Jesús Terán Peredo);467;738
Medio Kilo;1069;748
Loretito;469;748
La Biznaga;468;748
Macario J Gómez;470;748
Rancho Seco;472;748
La Providencia 1;473;748
San Ramon;476;748
La Guayana;475;748
Urbi Villa del Vergel;1399;748
Enriqueta;474;748
Paseos de La Providencia;1028;748
Viñedos River;477;748
Ramon Romo;480;748
Chicalote;479;748
Borrotes;478;748
Amapolas del Rio;481;748
Rancho Nuevo 2;484;748
El Tepetate;482;748
Ojo de Agua del Mezquite;483;748
Rancho Nuevo;1094;748
Ex Viñedos de Guadalupe;1010;748
Puertecito de La Virgen;471;748
Sendero de los Quetzales;1439;748
Villas de San Felipe;1056;748
La Ribera;1411;748
Valle de Aguascalientes;984;748
La Casita;1345;748
San Antonio de los Pedroza;485;738
San José de La Ordeña;486;738
San Nicolás de Arriba;488;738
La Soledad;487;738
Cartagena 1947;1008;738
San Nicolás de Enmedio;489;738
El Conejal;491;738
El Colorado (el Soyatal);490;738
Norias del Ojocaliente;495;738
El Trigo;494;738
El Rocio;1116;738
Dolores;496;738
El Malacate;497;738
La Pila;499;738
El Puerto;498;738
Ciudad de los Niños;500;738
La Cotorra;501;738
El Niágara;503;738
Cabecita 3 Marías;502;738
Granjas Fátima;1115;738
El Salitre;505;738
El Ocote;504;738
El Tanque de los Jimenez;506;738
El Refugio de Peñuelas;1109;738
El Cedazo (cedazo de San Antonio);1117;738
Campestre Bosques de Las Lomas;1193;738
Centro de Arriba (El Taray);507;738
Cieneguilla;508;738
San Pedro Cieneguilla;509;738
Los Dolores;510;738
Norias del Paso Hondo;512;738
Paso Hondo;513;738
Lotes de Arellano;1112;738
Santa Gertrudis;514;738
El Duraznillo;515;738
Tanque de Guadalupe;516;738
Los Duron;517;738
Soledad de Abajo;518;738
Congregación Matamoros;1191;738
Villa Campestre San José del Monte;1128;738
San José;519;738
Agostaderito;520;738
Cotorina de Ejido;521;738
Montoro;522;738
Universidad Autónoma de Aguascalientes  Campus Sur;1440;738
Cañada Grande de Cotorina;523;738
Coyotes Sur;524;738
San Bartolo;526;738
Los Cuervos (los Ojos de Agua);525;738
Peñuelas;528;738
Peñuelas;1355;738
El Refugio de Peñuelas;527;738
El Turicate;529;738
Rincón de Romos Centro;532;744
Villa Seguridad;1359;744
Subdivisión La Piedrera;1195;744
Santa Elena;940;744
Desarrollo Especial La Pedrera;1194;744
Norte;939;744
Estancia de Chora;1144;744
José Luis Macias;941;744
Emperadores;1145;744
Embajadores;1212;744
La Paz;1200;744
De Guadalupe;942;744
